,2022,name,Tuition,Enrollment Numbers,super_opeid,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
0,1,princeton university,56010,4773,2627.0,2.0,1.0,Ivy Plus,1.0,1.0,NJ,19600.0,Newark,34021.0,Mercer,0.0,1027.3333333333298,0.48085659999999997,0.59495795,0.013457948999999999,0.0029252854,519426.918001704,218100.0,0.854740734652681,0.020432552,0.041464746000000004,0.06235626,0.10820626,0.76754022,0.65249425,0.5258593,0.20105956,0.032139018,0.79054838,166992.690795344,90700.0,98100.0,0.073793292,0.07950627099999999,0.065414563,0.059492324000000006,0.10320269,0.69238418,0.57150441,0.45165357,0.23158072,0.74248683,0.79048085,0.74826163,0.75642574,0.80007738,0.11890195,0.12331644,0.034109537,0.065019667,0.65865237,0.06942488299999999,0.037835978,0.11067315,0.11451893,0.66754705,0.10096969,0.073126115,0.07560093,0.11860716,0.63169611,0.090662785,0.084323905,0.08035838599999999,0.097328514,0.64732641,0.07568559799999999,0.062070742000000005,0.053152747,0.10318445,0.70590645,0.14316788,0.15785858,0.14531651,0.18380953,0.25165996,0.41186681,0.49495646,0.52544433,0.52768606,0.62036556,0.0,0.0
1,2,columbia university,63530,6170,2707.0,2.0,1.0,Ivy Plus,1.0,1.0,NY,19400.0,New York,36061.0,New York,0.0,1244.3333333333298,0.45593357,0.52451259,0.030735934,0.0075032813,372277.272175529,169600.0,0.795071615551357,0.050208129000000004,0.061156154000000004,0.092937693,0.12840004,0.66729796,0.54871309,0.42415187,0.13680275,0.018464794,0.75204265,128030.685243939,75300.0,82200.0,0.085701294,0.092954479,0.081364945,0.072182894,0.11737183,0.6361258000000001,0.48961565,0.37605265,0.1658746,0.71665049,0.7330876000000001,0.71912336,0.74360764,0.76265073,0.118913,0.088223211,0.089113496,0.09157980199999999,0.61217046,0.14037979999999997,0.070617616,0.046035849000000004,0.12261032,0.62035638,0.11329352,0.07384984900000001,0.10280649,0.11544374,0.59460646,0.11328284,0.076573558,0.055307232000000005,0.12294859,0.63188779,0.079910673,0.083802499,0.072287425,0.11802782,0.6459716,0.14944355,0.1089492,0.10655068,0.13020037,0.18745464,0.41327515,0.41814497,0.46251759,0.53093058,0.55002993,0.0,0.0
2,2,harvard university,55587,5222,129.0,2.0,1.0,Ivy Plus,1.0,1.0,MA,20500.0,Boston,25017.0,Middlesex,0.0,1609.33333333333,0.46851698,0.53324383,0.017591679,0.0041402928000000006,504991.522473074,174000.0,0.819640772937247,0.030466165,0.0534385,0.081116386,0.13245763,0.70252132,0.56998521,0.42597306,0.15399452,0.029596413,0.76780713,170575.240401046,81500.0,91500.0,0.08575089300000001,0.09173288199999999,0.072259426,0.06974130099999999,0.11473186,0.65153456,0.52160031,0.42388153,0.21091336,0.71426827,0.70038527,0.74655962,0.73828948,0.78327626,0.1751281,0.060210615,0.073951103,0.11329326,0.5774169,0.15369295,0.07250582400000001,0.095991269,0.12137002,0.55643994,0.09413655800000001,0.076674797,0.09238477099999999,0.11803897,0.61876488,0.11341926,0.080124766,0.068900354,0.12581888,0.61173677,0.079036772,0.070770405,0.065106019,0.11181703,0.67326975,0.13589805,0.1863589,0.169098,0.18377565,0.22597922,0.44532356,0.4557673,0.54726666,0.47085157,0.55309469,0.0,0.0
3,2,massachusetts institute of technology,55878,4361,2178.0,2.0,1.0,Ivy Plus,1.0,1.0,MA,20500.0,Boston,25017.0,Middlesex,0.0,913.333333333333,0.4281022,0.55613101,0.033982009,0.0068486053,242345.75487568398,141000.0,0.770349455032035,0.051078737,0.067700982,0.09828651,0.16059312,0.62234056,0.45570749,0.30073023,0.070637129,0.009041177099999999,0.8121534,168951.477760037,98500.0,104600.0,0.066110075,0.071288623,0.052241325,0.056981739000000003,0.093748242,0.72573996,0.62040281,0.49004790000000004,0.20382342,0.76112491,0.79295468,0.78452414,0.81229353,0.82275754,0.10901976,0.053246907999999996,0.085928984,0.086517543,0.66528678,0.083069369,0.071195103,0.03025474,0.088418975,0.72706175,0.09649942800000001,0.058000412,0.06665288700000001,0.09954207400000001,0.6793051999999999,0.060297415,0.060722683,0.058604255,0.08532705199999999,0.73504865,0.06576497099999999,0.046998795,0.055567324,0.09617950800000001,0.73548943,0.13407938,0.15100452,0.16388229999999998,0.19382912,0.22418049,0.43706444,0.46832740000000006,0.56169194,0.54868078,0.57649946,0.0,0.0
4,5,yale university,59950,4703,1426.0,2.0,1.0,Ivy Plus,1.0,1.0,CT,20901.0,Bridgeport,9009.0,New Haven,0.0,1210.0,0.50661159,0.55138421,0.020817066999999998,0.0038495240999999996,515437.75197141897,199700.0,0.83122474763019,0.03632801,0.04799705,0.069016039,0.11495410000000002,0.73170477,0.61663616,0.48185879,0.17610745,0.026680687,0.76139319,143231.283910124,76000.0,84200.0,0.072415575,0.07823237799999999,0.080467254,0.0858799,0.12335713,0.63206333,0.49685892,0.40043584,0.18460262,0.71289128,0.71941924,0.7386474000000001,0.74372447,0.77147591,0.14542408,0.074629135,0.09415821,0.11275782,0.57303077,0.092531487,0.10835715,0.09340371900000001,0.12200113,0.5837064999999999,0.080713026,0.093855396,0.09412609,0.13203497,0.59927046,0.09073998800000001,0.094400145,0.068429403,0.14755648,0.59887403,0.071759462,0.075475924,0.086939111,0.11935198,0.64647353,0.10596573,0.11392099,0.15388367,0.15452437,0.20076619,0.44713109999999995,0.44885847,0.45808953,0.51226455,0.57823122,0.0,0.0
5,6,stanford university,56169,6366,1305.0,2.0,1.0,Ivy Plus,1.0,4.0,CA,37500.0,San Jose,6085.0,Santa Clara,0.0,1516.33333333333,0.50714445,0.54568028,0.022457635,0.0066273212,472210.529161629,172600.0,0.809392208658907,0.035795204,0.058271918,0.086171605,0.12980568,0.68995559,0.55813354,0.42007127,0.14479454,0.023389933999999998,0.77462727,174059.045301852,84800.0,94000.0,0.080435775,0.086458147,0.066362321,0.073925003,0.10052297,0.67273152,0.53910041,0.43070355,0.20914166,0.73601496,0.76411283,0.71358025,0.75957096,0.78797555,0.08862779300000001,0.09262756300000001,0.096218154,0.09513419099999999,0.62739229,0.09948448800000001,0.051254701,0.093810327,0.12246555,0.63298494,0.13465455,0.08838353300000001,0.080972627,0.11093209,0.5850571999999999,0.09042411300000001,0.065498084,0.096412681,0.1049468,0.64271837,0.078479804,0.063687883,0.06597800599999999,0.096817002,0.69503725,0.18514551,0.16969123,0.14527902,0.16127513,0.23069999,0.48508567,0.43039635,0.5215683,0.50727874,0.56879675,0.0,0.0
6,6,university of chicago,60963,6989,1774.0,2.0,1.0,Ivy Plus,1.0,2.0,IL,24300.0,Chicago,17031.0,Cook,0.0,935.666666666667,0.50837195,0.50651628,0.019408903999999998,0.0049604098,284501.315884396,132000.0,0.764136647069671,0.043047916,0.070048943,0.12133327,0.18332528,0.58224463,0.43617228,0.30216774,0.091139391,0.0098703848,0.71939719,92628.02124710551,61700.0,67600.0,0.085074335,0.093065687,0.10176876,0.09010764199999999,0.16458602,0.5504719,0.39412573,0.28656197,0.11037894,0.69079125,0.68577409,0.71293396,0.72246867,0.72593707,0.13282332,0.09687382,0.11332169999999998,0.20611374,0.45086744,0.12872097,0.12916377,0.081053242,0.12914932,0.53191268,0.089423999,0.11842172,0.10077179,0.16009279999999998,0.5312897,0.088066705,0.10101018,0.090637453,0.17401285,0.54627275,0.088169456,0.09560336900000001,0.087091535,0.16374722,0.56538838,0.11522996,0.10205085,0.064708188,0.08671958699999999,0.12798886,0.45206179999999996,0.468999,0.48663217,0.48218873,0.52685934,0.0,0.0
7,8,university of pennsylvania,61710,9872,3378.0,2.0,1.0,Ivy Plus,1.0,1.0,PA,19700.0,Philadelphia,42101.0,Philadelphia,0.0,2228.0,0.49685818,0.58600765,0.020525046,0.0051114415,458236.050044883,175300.0,0.815462170497591,0.03535334,0.054813432999999995,0.087624341,0.12277757,0.69943136,0.57265949,0.43123245,0.15717262,0.022278238,0.7914964,172802.519673848,91800.0,100100.0,0.07866218700000001,0.083803684,0.059940625,0.053666807999999996,0.10782889,0.69476002,0.56836754,0.46086511,0.22542852,0.72136003,0.76283461,0.77738148,0.77925014,0.80120564,0.12765791,0.0907837,0.06935071200000001,0.13163896,0.58056879,0.10438010000000002,0.057430405,0.06189845099999999,0.13202195,0.64426911,0.08239250599999999,0.075495891,0.063302338,0.11164127,0.66716802,0.088105574,0.050316560999999996,0.064084575,0.13201153,0.66548175,0.079396121,0.058318999,0.049193087999999996,0.10000679999999999,0.7130850000000001,0.14458157,0.17745638,0.19110113,0.18917333,0.24393921,0.51357967,0.47588640000000004,0.53181648,0.56359673,0.6090215999999999,0.0,0.0
8,9,northwestern university,60984,8194,1739.0,2.0,2.0,Other elite schools (public and private),1.0,2.0,IL,24300.0,Chicago,17031.0,Cook,0.0,1782.0,0.53292179,0.58287686,0.016942441000000003,0.002434755,350349.765385335,168500.0,0.815103881643633,0.030700425,0.054111414000000004,0.085163251,0.14800173,0.68202323,0.54623991,0.41565529,0.14244716,0.014710706,0.75383383,106181.674826973,72600.0,78600.0,0.07672269599999999,0.083343737,0.07860919799999999,0.082412384,0.13566163,0.61997312,0.47165984,0.35380748,0.14205506,0.70431441,0.70716017,0.71827239,0.76208121,0.76241672,0.10175607,0.12339582,0.10023688,0.12274785,0.55186343,0.10638525,0.10292798,0.066683322,0.19574797,0.52825546,0.088506714,0.08255504799999999,0.1251844,0.15524164,0.54851222,0.082458198,0.065597557,0.07651165900000001,0.14679489999999998,0.62863773,0.080234289,0.076994605,0.078797571,0.12661479,0.63735873,0.079306886,0.11014345,0.09814582,0.11116400000000001,0.15959781,0.48118815,0.43932787,0.55029231,0.56489891,0.60681343,0.0,0.0
9,9,johns hopkins university,58720,6331,2077.0,2.0,2.0,Other elite schools (public and private),1.0,3.0,MD,11302.0,Baltimore,24510.0,Baltimore City,0.0,927.333333333333,0.41768512,0.56499428,0.021514801,0.005394511899999999,285199.682883267,142300.0,0.781817869476754,0.036704928,0.057801947,0.11920501,0.16481410000000002,0.62147403,0.47295532,0.33017173,0.08806691300000001,0.0094916122,0.76922953,105184.75928401301,75000.0,80600.0,0.07001043900000001,0.075862229,0.070019662,0.077815339,0.12726700000000002,0.64903575,0.48582587,0.34445798,0.13199654,0.71826041,0.73965943,0.73654991,0.75288069,0.78559399,0.12553388,0.08366618299999999,0.057732053,0.14691219,0.58615565,0.09679388300000001,0.057822932,0.11542939,0.14751284,0.58244091,0.08459069599999999,0.10187449,0.085887685,0.15188652,0.5757606,0.089074813,0.06036612,0.09107212,0.15178506,0.6077019,0.065803595,0.06679811299999999,0.070439033,0.11299929,0.68395996,0.14696969,0.08750078800000001,0.09991063900000001,0.098037988,0.15041083,0.49281338,0.54211271,0.49369642,0.57590276,0.58216828,0.0,0.0
