,2022,name,Tuition,Enrollment Numbers
0,1,princeton university,56010,4773
1,2,columbia university,63530,6170
2,2,harvard university,55587,5222
3,2,massachusetts institute of technology,55878,4361
4,5,yale university,59950,4703
5,6,stanford university,56169,6366
6,6,university of chicago,60963,6989
7,8,university of pennsylvania,61710,9872
8,9,california institute of technology,58680,901
9,9,duke university,60489,6717
10,9,johns hopkins university,58720,6331
11,9,northwestern university,60984,8194
12,13,dartmouth college,60870,4170
13,14,brown university,62404,6792
14,14,vanderbilt university,56966,7057
15,14,washington university in saint louis,58866,7653
16,17,cornell university,61015,14743
17,17,rice university,52895,4076
18,19,university of notre dame,58843,8874
19,20,university of california los angeles,43022,31636
20,21,emory university,55468,7010
21,22,university of california berkeley,44115,30980
22,23,georgetown university,59957,7357
23,23,university of michigan ann arbor,53232,31329
24,25,carnegie mellon university,58924,7073
25,25,university of virginia,53666,17311
26,27,university of southern california,60275,19606
27,28,new york university,56500,27444
28,28,tufts university,63000,6114
29,28,university of california santa barbara,44196,23196
30,28,university of florida,28658,34931
31,28,university of north carolina chapel hill,36776,19399
32,28,wake forest university,59770,5441
33,34,university of california san diego,44487,31842
34,34,university of rochester,59344,6521
35,36,boston college,61706,9445
36,36,university of california irvine,43709,29638
37,38,georgia institute of technology,33794,16561
38,38,university of california davis,44408,31162
39,38,university of texas austin,40032,40048
40,38,college of william and mary,46467,6236
41,42,boston university,59816,16872
42,42,brandeis university,60391,3493
43,42,case western reserve university,54020,5433
44,42,tulane university,60814,7700
45,42,university of wisconsin Madison,38608,33585
46,47,university of illinois champaign,34316,33683
47,48,university of georgia,31120,29765
48,49,lehigh university,57470,5203
49,49,northeastern university,57592,15156
50,49,ohio state university,35019,46984
51,49,pepperdine university,59702,3459
52,49,purdue university,28794,34920
53,49,villanova university,59900,7037
54,55,florida state university,21683,32543
55,55,rensselaer polytechnic institute,58526,6283
56,55,santa clara university,55860,5608
57,55,university of miami,54760,11334
58,59,syracuse university,57591,14479
59,59,university of maryland,38636,30875
60,59,university of pittsburghh pittsburghh campus,34124,19197
61,59,university of washington,39906,35582
62,63,george washington university,59870,11762
63,63,pennsylvania state university,36476,39809
64,63,rutgers university new brunswick,33005,35844
65,63,university of connecticut,41192,18917
66,63,worcester polytechnic institute,55531,4892
67,68,fordham university,55776,9399
68,68,indiana university bloomington,38354,32986
69,68,southern methodist university,60236,6827
70,68,texas a&m university,40087,55568
71,68,university of massachusetts amherst,36964,24233
72,68,university of minnesota twin cities,33843,36061
73,68,yeshiva university,47500,2017
74,75,baylor university,50232,14399
75,75,clemson university,37712,20868
76,75,loyola marymount university,53051,6673
77,75,virginia polytechnic institute and state university,33253,30020
78,79,american university,51334,7953
79,79,brigham young university,6120,33365
80,79,gonzaga university,48470,4852
81,79,north carolina state university,29916,26150
82,83,binghamton university suny,27909,14333
83,83,colorado school of mines,39800,5216
84,83,elon university,38725,6291
85,83,howard university,28916,7857
86,83,marquette university,45766,8024
87,83,michigan state university,39766,38491
88,83,stevens institute of technology,56920,3670
89,83,texas christian university,51660,9704
90,83,university of california riverside,43496,22687
91,83,university of iowa,31569,22304
92,93,stony brook university,28080,18010
93,93,suny college buffalo,28194,22306
94,93,university of california merced,43319,8276
95,93,university of delaware,36880,18420
96,93,university of denver,54819,5699
97,93,university of san diego,52864,5529
98,99,auburn university,31956,24505
99,99,university of colorado boulder,38312,30300
100,99,university of oregon,39308,18045
101,99,university of utah,31389,24643
102,103,clark university,50302,2241
103,103,creighton university,44524,4458
104,103,drexel university,57136,14552
105,103,loyola university chicago,47498,11612
106,103,miami university oxford,37379,16522
107,103,new jersey institute of technology,33386,9084
108,103,saint louis university,48824,7357
109,103,temple university,34801,27306
110,103,university of arizona,34667,36503
111,103,university of california santa cruz,43820,17207
112,103,university of illinois chicago,31787,21921
113,103,university of san francisco,53472,5852
114,103,university of south florida,17324,38579
115,103,university of tennessee,31434,24254
116,117,arizona state university,29438,63124
117,117,rochester institute of technology,52756,13412
118,117,suny college of environmental science and forestry,19976,1731
119,117,university of south carolina,33928,27270
120,117,university of vermont,43890,11136
121,117,chapman university,57214,7404
122,122,illinois institute of technology,50640,3123
123,122,iowa state university,24504,26846
124,122,university of kansas,28034,19135
125,122,university of missouri,30450,23396
126,127,clarkson university,54370,2905
127,127,depaul university,42012,14145
128,127,gallaudet university,17112,1019
129,127,rutgers university newark,32409,9118
130,127,seattle university,49335,4299
131,127,seton hall university,46880,5913
132,127,university of dayton,44890,8644
133,127,university of kentucky,31608,22227
134,127,university of oklahoma,25116,21383
